GEO ID,Province Code,City,Total,Motorized,Public,Active
24661749,24,Montréal,225.0,100.0,55.0,70.0
24661750,24,Montréal,175.0,70.0,65.0,35.0
24661751,24,Montréal,140.0,50.0,80.0,15.0
24661752,24,Montréal,315.0,125.0,100.0,80.0
24661753,24,Montréal,155.0,65.0,40.0,50.0
24661754,24,Montréal,150.0,60.0,50.0,50.0
24661755,24,Montréal,165.0,90.0,40.0,35.0
24661756,24,Montréal,115.0,50.0,50.0,10.0
24661757,24,Montréal,265.0,105.0,110.0,45.0
24661758,24,Montréal,175.0,45.0,85.0,55.0
24661759,24,Montréal,135.0,45.0,65.0,25.0
24661760,24,Montréal,195.0,55.0,110.0,30.0
24661761,24,Montréal,370.0,145.0,125.0,90.0
24661762,24,Montréal,205.0,95.0,60.0,45.0
24661763,24,Montréal,335.0,135.0,135.0,60.0
24661764,24,Montréal,145.0,65.0,55.0,30.0
24661765,24,Montréal,265.0,135.0,85.0,35.0
24661766,24,Montréal,330.0,135.0,115.0,70.0
24661767,24,Montréal,505.0,265.0,180.0,60.0
24661768,24,Montréal,215.0,90.0,95.0,10.0
24661769,24,Montréal,235.0,85.0,85.0,70.0
24661770,24,Montréal,145.0,55.0,75.0,20.0
24661771,24,Montréal,255.0,60.0,150.0,45.0
24661772,24,Montréal,135.0,45.0,60.0,30.0
24661773,24,Montréal,270.0,105.0,95.0,65.0
24661774,24,Montréal,195.0,50.0,115.0,30.0
24661775,24,Montréal,135.0,50.0,60.0,10.0
24661776,24,Montréal,170.0,55.0,95.0,15.0
24661777,24,Montréal,260.0,140.0,70.0,40.0
24661778,24,Montréal,465.0,190.0,180.0,90.0
24661779,24,Montréal,240.0,50.0,135.0,55.0
24661780,24,Montréal,180.0,75.0,65.0,40.0
24661781,24,Montréal,295.0,115.0,120.0,60.0
24661782,24,Montréal,275.0,105.0,105.0,60.0
24661783,24,Montréal,405.0,120.0,190.0,80.0
24661784,24,Montréal,255.0,85.0,105.0,50.0
24661785,24,Montréal,190.0,90.0,70.0,35.0
24661786,24,Montréal,170.0,60.0,65.0,40.0
24661787,24,Montréal,290.0,90.0,120.0,80.0
24661788,24,Montréal,145.0,40.0,55.0,60.0
24661789,24,Montréal,170.0,60.0,80.0,25.0
24661790,24,Montréal,165.0,55.0,90.0,25.0
24661791,24,Montréal,265.0,115.0,85.0,50.0
24661792,24,Montréal,245.0,120.0,50.0,75.0
24661793,24,Montréal,160.0,25.0,55.0,70.0
24661794,24,Montréal,175.0,40.0,70.0,65.0
24661795,24,Montréal,325.0,105.0,120.0,85.0
24661796,24,Montréal,155.0,45.0,40.0,55.0
24661797,24,Montréal,125.0,15.0,55.0,55.0
24661798,24,Montréal,245.0,95.0,50.0,105.0
24661799,24,Montréal,145.0,45.0,60.0,40.0
24661800,24,Montréal,155.0,50.0,55.0,50.0
24661801,24,Montréal,140.0,35.0,60.0,50.0
24661802,24,Montréal,245.0,95.0,75.0,70.0
24661803,24,Montréal,160.0,45.0,40.0,75.0
24661804,24,Montréal,150.0,80.0,30.0,35.0
24661805,24,Montréal,195.0,60.0,40.0,85.0
24661806,24,Montréal,210.0,90.0,40.0,80.0
24661807,24,Montréal,150.0,40.0,50.0,55.0
24661808,24,Montréal,180.0,70.0,55.0,45.0
24661809,24,Montréal,210.0,100.0,45.0,70.0
24661810,24,Montréal,395.0,145.0,115.0,125.0
24661811,24,Montréal,160.0,55.0,40.0,75.0
24661812,24,Montréal,130.0,40.0,40.0,50.0
24661813,24,Montréal,145.0,70.0,30.0,50.0
24661814,24,Montréal,195.0,75.0,40.0,80.0
24661815,24,Montréal,115.0,30.0,50.0,30.0
24661816,24,Montréal,225.0,85.0,60.0,75.0
24661817,24,Montréal,195.0,85.0,60.0,50.0
24661818,24,Montréal,140.0,35.0,60.0,45.0
24661819,24,Montréal,210.0,60.0,75.0,65.0
24661820,24,Montréal,210.0,95.0,45.0,70.0
24661821,24,Montréal,285.0,105.0,90.0,85.0
24661822,24,Montréal,195.0,55.0,70.0,65.0
24661823,24,Montréal,165.0,60.0,30.0,65.0
24661824,24,Montréal,305.0,150.0,85.0,65.0
24661825,24,Montréal,135.0,40.0,35.0,55.0
24661826,24,Montréal,175.0,55.0,45.0,75.0
24661827,24,Montréal,335.0,145.0,90.0,85.0
24661828,24,Montréal,170.0,60.0,60.0,35.0
24661829,24,Montréal,115.0,35.0,45.0,35.0
24661830,24,Montréal,195.0,70.0,55.0,50.0
24661831,24,Montréal,110.0,50.0,30.0,35.0
24661832,24,Montréal,160.0,25.0,75.0,55.0
24661833,24,Montréal,135.0,30.0,30.0,70.0
24661834,24,Montréal,155.0,35.0,85.0,25.0
24661835,24,Montréal,140.0,45.0,60.0,30.0
24661836,24,Montréal,70.0,10.0,20.0,40.0
24661837,24,Montréal,140.0,40.0,50.0,50.0
24661838,24,Montréal,235.0,70.0,85.0,70.0
24661839,24,Montréal,190.0,25.0,80.0,70.0
24661840,24,Montréal,95.0,40.0,10.0,30.0
24661841,24,Montréal,95.0,15.0,35.0,35.0
24661842,24,Montréal,155.0,60.0,30.0,60.0
24661843,24,Montréal,190.0,65.0,65.0,55.0
24661844,24,Montréal,150.0,30.0,40.0,70.0
24661845,24,Montréal,115.0,50.0,30.0,35.0
24661846,24,Montréal,220.0,55.0,55.0,110.0
